Assembly Accession	Organism Name	Organism Taxonomic ID	Assembly BioSample Strain 	Assembly Level	Assembly Type	Assembly Stats Number of Contigs
GCF_033096525.1	[Ruminococcus] torques	33039	17EGH124	Complete Genome	haploid	1
GCF_013267415.1	Abiotrophia defectiva	46125	FDAARGOS_785	Complete Genome	haploid	1
GCF_037041345.1	Abiotrophia defectiva ATCC 49176	592010	ATCC 49176	Complete Genome	haploid	1
GCF_022807975.1	Abyssalbus ytuae	2926907	MT3330	Complete Genome	haploid	1
GCF_020447305.1	Abyssibius alkaniclasticus	2881234	960558	Complete Genome	haploid	1
GCF_001989575.1	Abyssicoccus albus	1817405	S31	Complete Genome	haploid	1
GCF_016592595.1	Abyssogena phaseoliformis symbiont OG214	1235283		Complete Genome	haploid	1
GCF_024347835.1	Acaryochloris marina MBIC10699	2954813	MBIC10699	Complete Genome	haploid	5
GCF_000018105.1	Acaryochloris marina MBIC11017	329726	MBIC11017	Complete Genome	haploid	10
GCF_018336915.1	Acaryochloris marina S15	2762553	S15	Complete Genome	haploid	7
GCF_021497025.1	Acaryochloris sp. 'Moss Beach'	2740837	Moss Beach	Complete Genome	haploid	11
GCF_017357865.1	Aceticella autotrophica	2755338	3443-3Ac	Complete Genome	haploid	1
GCF_004359375.1	Acetilactobacillus jinshanensis	1720083	HSLZ-75	Complete Genome	haploid	1
GCF_000237085.1	Acetivibrio clariflavus DSM 19732	720554	DSM 19732	Complete Genome	haploid	1
GCF_002844395.1	Acetivibrio saccincola	1677857	GGR1	Complete Genome	haploid	1
GCF_025213355.1	Acetivibrio thermocellus	1515	M3	Complete Genome	haploid	1
GCF_000255615.2	Acetivibrio thermocellus AD2	1138384	AD2	Complete Genome	haploid	1
GCF_000015865.1	Acetivibrio thermocellus ATCC 27405	203119	ATCC 27405	Complete Genome	haploid	1
GCF_000184925.1	Acetivibrio thermocellus DSM 1313	637887	DSM 1313	Complete Genome	haploid	1
GCF_001692755.1	Acetivibrio thermocellus DSM 2360	572545	LQRI	Complete Genome	haploid	1
GCF_000196455.1	Acetoanaerobium sticklandii	1511	DSM 519	Complete Genome	haploid	1
GCF_002005445.1	Acetobacter aceti	435	TMW2.1153	Complete Genome	haploid	1
GCF_014218315.1	Acetobacter aceti	435	JCM20276	Complete Genome	haploid	5
GCF_000193495.2	Acetobacter aceti NBRC 14818	887700	NBRC 14818	Complete Genome	haploid	5
GCF_002173775.1	Acetobacter ascendens	481146	SRCM101447	Complete Genome	haploid	4
GCF_001766235.1	Acetobacter ascendens	481146	LMG 1590	Complete Genome	haploid	4
GCF_001766255.1	Acetobacter ascendens	481146	LMG 1591	Complete Genome	haploid	4
GCF_002220195.1	Acetobacter oryzifermentans	1633874	dm	Complete Genome	haploid	1
GCF_001628715.1	Acetobacter oryzifermentans	1633874	SLV-7	Complete Genome	haploid	4
GCF_004014775.2	Acetobacter oryzoeni	2500548	B6	Complete Genome	haploid	4
GCF_009914215.2	Acetobacter pasteurianus	438	CICC 22518	Complete Genome	haploid	3
GCF_001183745.1	Acetobacter pasteurianus	438	Ab3	Complete Genome	haploid	1
GCF_000723785.2	Acetobacter pasteurianus 386B	1266844	386B	Complete Genome	haploid	8
GCF_000010825.1	Acetobacter pasteurianus IFO 3283-01	634452	IFO 3283	Complete Genome	haploid	7
GCF_000010945.1	Acetobacter pasteurianus IFO 3283-01-42C	634458	IFO 3283	Complete Genome	haploid	7
GCF_000010845.1	Acetobacter pasteurianus IFO 3283-03	634453	IFO 3283	Complete Genome	haploid	7
GCF_000010865.1	Acetobacter pasteurianus IFO 3283-07	634454	IFO 3283	Complete Genome	haploid	7
GCF_000010965.1	Acetobacter pasteurianus IFO 3283-12	634459	IFO 3283	Complete Genome	haploid	7
GCF_000010885.1	Acetobacter pasteurianus IFO 3283-22	634455	IFO 3283	Complete Genome	haploid	7
GCF_000010905.1	Acetobacter pasteurianus IFO 3283-26	634456	IFO 3283	Complete Genome	haploid	7
GCF_000010925.1	Acetobacter pasteurianus IFO 3283-32	634457	IFO 3283	Complete Genome	haploid	7
GCF_002173735.1	Acetobacter pasteurianus subsp. pasteurianus	481145	SRCM101342	Complete Genome	haploid	6
GCF_002202135.1	Acetobacter pasteurianus subsp. pasteurianus	481145	SRCM101468	Complete Genome	haploid	4
GCF_002006565.1	Acetobacter persici	1076596	TMW2.1084	Complete Genome	haploid	2
GCF_002456135.1	Acetobacter pomorum	65959	BDGP5	Complete Genome	haploid	4
GCF_003391275.1	Acetobacter pomorum	65959	SH	Complete Genome	haploid	3
GCF_001499615.1	Acetobacter senegalensis	446692	108B	Complete Genome	haploid	2
GCF_040208445.1	Acetobacter sp. A11-2	3157859	A11-2	Complete Genome	haploid	1
GCF_037901235.1	Acetobacter sp. AC2005	3134142	AC2005	Complete Genome	haploid	5
GCF_040208455.1	Acetobacter sp. GHA7	3157860	GHA7	Complete Genome	haploid	1
GCF_003323795.1	Acetobacter sp. JWB	2259883	JWB	Complete Genome	haploid	3
GCF_002549835.1	Acetobacter tropicalis	104102	BDGP1	Complete Genome	haploid	2
GCF_008365315.1	Acetobacter vaccinii	2592655	KACC 21233	Complete Genome	haploid	3
GCF_023700225.1	Acetobacterium wieringae	52694	CH1	Complete Genome	haploid	1
GCF_025813735.1	Acetobacterium wieringae	52694	Y	Complete Genome	haploid	1
GCF_000247605.1	Acetobacterium woodii DSM 1030	931626	DSM 1030	Complete Genome	haploid	1
GCF_000144695.1	Acetohalobium arabaticum DSM 5501	574087	DSM 5501	Complete Genome	haploid	1
GCF_000266925.1	Acetomicrobium mobile DSM 13181	891968	DSM 13181	Complete Genome	haploid	1
GCF_900660755.1	Acholeplasma hippikon	264636	NCTC10172	Complete Genome	haploid	2
GCF_025884515.1	Acholeplasma laidlawii	2148	JS42	Complete Genome	haploid	1
GCF_900476025.1	Acholeplasma laidlawii	2148	NCTC10116	Complete Genome	haploid	1
GCF_000018785.1	Acholeplasma laidlawii PG-8A	441768	PG-8A	Complete Genome	haploid	1
GCF_030845255.1	Achromobacter aegrifaciens	1287736	L3024	Complete Genome	haploid	1
GCF_013116765.2	Achromobacter deleyi	1353891	As-55	Complete Genome	haploid	1
GCF_016127315.1	Achromobacter deleyi	1353891	FDAARGOS_1050	Complete Genome	haploid	1
GCF_021432025.1	Achromobacter deleyi	1353891	SMAs-55	Complete Genome	haploid	1
GCF_013267375.1	Achromobacter denitrificans	32002	FDAARGOS_788	Complete Genome	haploid	1
GCF_002205315.1	Achromobacter denitrificans	32002	PR1	Complete Genome	haploid	1
GCF_013267395.1	Achromobacter denitrificans	32002	FDAARGOS_786	Complete Genome	haploid	1
GCF_013343095.1	Achromobacter denitrificans	32002	FDAARGOS_787	Complete Genome	haploid	1
GCF_029543025.1	Achromobacter denitrificans	32002	TB	Complete Genome	haploid	1
GCF_039565655.1	Achromobacter denitrificans	32002	BP1	Complete Genome	haploid	1
GCF_008245125.1	Achromobacter insolitus	217204	LCu2	Complete Genome	haploid	1
GCF_000783435.2	Achromobacter insolitus	217204	FDAARGOS_88	Complete Genome	haploid	2
GCF_001971645.1	Achromobacter insolitus	217204	DSM 23807	Complete Genome	haploid	1
GCF_900637265.1	Achromobacter insolitus	217204	NCTC13520	Complete Genome	haploid	1
GCF_027941855.1	Achromobacter mucicolens	1389922		Complete Genome	haploid	1
GCF_029866465.1	Achromobacter mucicolens	1389922	Y3	Complete Genome	haploid	1
GCF_013267355.1	Achromobacter pestifer	1353889	FDAARGOS_790	Complete Genome	haploid	2
GCF_030864005.1	Achromobacter seleniivolatilans	3047478	R39	Complete Genome	haploid	2
GCF_020541125.1	Achromobacter sp. 77	2756133	77	Complete Genome	haploid	1
GCF_002902905.1	Achromobacter sp. AONIH1	1758194	AONIH1	Complete Genome	haploid	1
GCF_003600685.1	Achromobacter sp. B7	2282475	B7	Complete Genome	haploid	1
GCF_037039475.1	Achromobacter sp. E1	3141581		Complete Genome	haploid	1
GCF_019448355.1	Achromobacter sp. ES-001	2860286	ES-001	Complete Genome	haploid	1
GCF_040084795.1	Achromobacter sp. HNDS-1	3151598	HNDS-1	Complete Genome	haploid	1
GCF_029495675.1	Achromobacter sp. SS2-2022	2980498		Complete Genome	haploid	1
GCF_900636675.1	Achromobacter spanius	217203	NCTC13519	Complete Genome	haploid	1
GCF_002812705.1	Achromobacter spanius	217203	DSM 23806	Complete Genome	haploid	1
GCF_002966795.1	Achromobacter spanius	217203	MYb73	Complete Genome	haploid	1
GCF_003994415.1	Achromobacter spanius	217203	UQ283	Complete Genome	haploid	1
GCF_026692605.1	Achromobacter spanius	217203	LIG3	Complete Genome	haploid	1
GCF_029637605.1	Achromobacter spanius	217203	LIG8	Complete Genome	haploid	1
GCF_037619525.1	Achromobacter veterisilvae	2069367	AB1	Complete Genome	haploid	1
GCF_016728825.1	Achromobacter xylosoxidans	85698	FDAARGOS_1091	Complete Genome	haploid	2
GCF_001457475.1	Achromobacter xylosoxidans	85698	NCTC10807	Complete Genome	haploid	1
GCF_001558755.2	Achromobacter xylosoxidans	85698	FDAARGOS_147	Complete Genome	haploid	2
GCF_001559195.1	Achromobacter xylosoxidans	85698	FDAARGOS_150	Complete Genome	haploid	1
GCF_008432465.1	Achromobacter xylosoxidans	85698	AX1	Complete Genome	haploid	1
GCF_013282235.1	Achromobacter xylosoxidans	85698	GN050	Complete Genome	haploid	1
GCF_013282255.1	Achromobacter xylosoxidans	85698	GN008	Complete Genome	haploid	1
GCF_013343135.1	Achromobacter xylosoxidans	85698	FDAARGOS_789	Complete Genome	haploid	1
GCF_014490035.1	Achromobacter xylosoxidans	85698	GD03	Complete Genome	haploid	1
GCF_016027035.1	Achromobacter xylosoxidans	85698	FDAARGOS_915	Complete Genome	haploid	1
GCF_022870085.1	Achromobacter xylosoxidans	85698	PartM-Axylosoxidans-RM8376	Complete Genome	haploid	1
GCF_025426095.1	Achromobacter xylosoxidans	85698	2021CK-01139	Complete Genome	haploid	1
GCF_032703345.1	Achromobacter xylosoxidans	85698	L7	Complete Genome	haploid	1
GCF_033096405.1	Achromobacter xylosoxidans	85698	H1_3_1	Complete Genome	haploid	1
GCF_034078005.1	Achromobacter xylosoxidans	85698	DDA01	Complete Genome	haploid	1
GCF_040438975.1	Achromobacter xylosoxidans	85698	zafu-3	Complete Genome	haploid	1
GCF_900009115.1	Achromobacter xylosoxidans	85698		Complete Genome	haploid	1
GCF_900009125.1	Achromobacter xylosoxidans	85698		Complete Genome	haploid	1
GCF_900010105.1	Achromobacter xylosoxidans	85698		Complete Genome	haploid	1
GCF_900475575.1	Achromobacter xylosoxidans	85698	NCTC10808	Complete Genome	haploid	1
GCF_000165835.1	Achromobacter xylosoxidans A8	762376	A8	Complete Genome	haploid	3
GCF_000025305.1	Acidaminococcus fermentans DSM 20731	591001	DSM 20731	Complete Genome	haploid	1
GCF_020735645.1	Acidaminococcus fermentans DSM 20731	591001	FDAARGOS_1571	Complete Genome	haploid	1
GCF_025144545.1	Acidaminococcus intestini	187327	D21	Complete Genome	haploid	1
GCF_000230275.1	Acidaminococcus intestini RyC-MR95	568816	RyC-MR95	Complete Genome	haploid	1
GCF_003352165.1	Acidibrevibacterium fodinaquatile	1969806	G45-3	Complete Genome	haploid	4
GCF_902729405.1	Acididesulfobacillus acetoxydans	1561005		Complete Genome	haploid	1
GCF_003184265.1	Acidiferrobacter sp. SPIII_3	1281578	SPIII_3	Complete Genome	haploid	1
GCF_001705075.2	Acidiferrobacter thiooxydans	163359	ZJ	Complete Genome	haploid	1
GCF_001753245.1	Acidihalobacter yilgarnensis	2819280	F5	Complete Genome	haploid	1
GCF_004103715.1	Acidilutibacter cellobiosedens	2507161	JN-28	Complete Genome	haploid	1
GCF_000023265.1	Acidimicrobium ferrooxidans DSM 10331	525909	DSM 10331	Complete Genome	haploid	1
GCF_000016725.1	Acidiphilium cryptum JF-5	349163	JF-5	Complete Genome	haploid	9
GCF_022558965.1	Acidiphilium multivorum	62140	JZ-6	Complete Genome	haploid	6
GCF_000202835.1	Acidiphilium multivorum AIU301	926570	AIU301	Complete Genome	haploid	9
GCF_001441165.1	Acidipropionibacterium acidipropionici	1748	CGMCC 1.2230	Complete Genome	haploid	1
GCF_001602115.1	Acidipropionibacterium acidipropionici	1748	ATCC 55737	Complete Genome	haploid	2
GCF_001855335.1	Acidipropionibacterium acidipropionici	1748	F3E8	Complete Genome	haploid	1
GCF_001975205.1	Acidipropionibacterium acidipropionici	1748	WSH1105	Complete Genome	haploid	1
GCF_003956085.1	Acidipropionibacterium acidipropionici	1748	WGS7	Complete Genome	haploid	1
GCF_005890155.1	Acidipropionibacterium acidipropionici	1748	FAM 19036	Complete Genome	haploid	1
GCF_000310065.1	Acidipropionibacterium acidipropionici ATCC 4875	1171373	ATCC 4875	Complete Genome	haploid	1
GCF_005890135.1	Acidipropionibacterium jensenii	1749	FAM 19038	Complete Genome	haploid	1
GCF_004011055.1	Acidipropionibacterium jensenii	1749	JS280	Complete Genome	haploid	1
GCF_004011075.1	Acidipropionibacterium jensenii	1749	JS279	Complete Genome	haploid	1
GCF_900637925.1	Acidipropionibacterium jensenii	1749	NCTC13652	Complete Genome	haploid	1
GCF_003325455.1	Acidipropionibacterium virtanenii	2057246	JS278	Complete Genome	haploid	1
GCF_003330725.1	Acidisarcina polymorpha	2211140	SBC82	Complete Genome	haploid	5
GCF_030252425.1	Acidisoma sp. PAMC 29798	3040935	PAMC 29798	Complete Genome	haploid	5
GCF_001650235.3	Acidithiobacillus caldus	33059	MTH-04	Complete Genome	haploid	3
GCF_031200535.1	Acidithiobacillus caldus	33059		Complete Genome	haploid	1
GCF_000175575.2	Acidithiobacillus caldus ATCC 51756	637389	ATCC 51756	Complete Genome	haploid	4
GCF_000221025.1	Acidithiobacillus caldus SM-1	990288	SM-1	Complete Genome	haploid	5
GCF_003966655.1	Acidithiobacillus ferridurans	1232575	JCM 18981	Complete Genome	haploid	1
GCF_028215975.1	Acidithiobacillus ferriphilus	1689834	YL25	Complete Genome	haploid	3
GCF_020844025.1	Acidithiobacillus ferriphilus	1689834	GT2	Complete Genome	haploid	2
GCF_016250455.1	Acidithiobacillus ferrivorans	160808	XJFY6S-08	Complete Genome	haploid	1
GCF_000214095.2	Acidithiobacillus ferrivorans SS3	743299	SS3	Complete Genome	haploid	1
GCF_013462805.1	Acidithiobacillus ferrooxidans	920	YNTRS-40	Complete Genome	haploid	2
GCF_019856615.1	Acidithiobacillus ferrooxidans	920	BYM	Complete Genome	haploid	2
GCF_020887015.1	Acidithiobacillus ferrooxidans	920	NFP31	Complete Genome	haploid	2
GCF_000021485.1	Acidithiobacillus ferrooxidans ATCC 23270	243159	ATCC 23270	Complete Genome	haploid	1
GCF_000020825.1	Acidithiobacillus ferrooxidans ATCC 53993	380394	ATCC 53993	Complete Genome	haploid	1
GCF_008926505.1	Acidithiobacillus sp. 'AMD consortium'	2614801	AMD consortium	Complete Genome	haploid	1
GCF_030996345.1	Acidithiobacillus sp. AMEEHan	2994951	AMEEHan	Complete Genome	haploid	6
GCF_009662475.1	Acidithiobacillus thiooxidans ATCC 19377	637390	ATCC 19377	Complete Genome	haploid	1
GCF_000022565.1	Acidobacterium capsulatum ATCC 51196	240015	ATCC 51196	Complete Genome	haploid	1
GCF_027626035.1	Acidocella sp. MX-AZ03	2697363	MX-AZ03	Complete Genome	haploid	1
GCF_000015025.1	Acidothermus cellulolyticus 11B	351607	11B; ATCC 43068	Complete Genome	haploid	1
GCF_002157165.1	Acidovorax carolinensis	553814	NA2	Complete Genome	haploid	2
GCF_002157125.1	Acidovorax carolinensis	553814	P4	Complete Genome	haploid	5
GCF_002157145.1	Acidovorax carolinensis	553814	NA3	Complete Genome	haploid	1
GCF_002157185.1	Acidovorax carolinensis	553814	P3	Complete Genome	haploid	4
GCF_020510705.1	Acidovorax radicis	758826	79	Complete Genome	haploid	1
GCF_003669015.1	Acidovorax sp. 1608163	2478662		Complete Genome	haploid	1
GCF_037101375.1	Acidovorax sp. DW039	3095606	DW039	Complete Genome	haploid	2
GCF_038958875.1	Acidovorax sp. FHTAMBA	3140252	FHTAMBA	Complete Genome	haploid	1
GCF_028473645.1	Acidovorax sp. GBBC 1281	2940492	GBBC 1281	Complete Genome	haploid	2
GCF_028473465.1	Acidovorax sp. GBBC 712	2940491	GBBC 712	Complete Genome	haploid	1
GCF_011303755.1	Acidovorax sp. HDW3	2714923	HDW3	Complete Genome	haploid	1
GCF_000302535.1	Acidovorax sp. KKS102	358220	KKS102	Complete Genome	haploid	1
GCF_028473605.1	Acidovorax sp. NCPPB 3576	2940488	NCPPB 3576	Complete Genome	haploid	1
GCF_028473585.1	Acidovorax sp. NCPPB 3859	2940489	NCPPB 3859	Complete Genome	haploid	1
GCF_001714725.1	Acidovorax sp. RAC01	1842533	RAC01	Complete Genome	haploid	1
GCF_002176815.1	Acidovorax sp. T1	1858609	T1	Complete Genome	haploid	4
GCF_028596105.1	Acidovorax temperans	80878	LMJ	Complete Genome	haploid	3
GCF_030762805.1	Aciduricibacillus chroicocephali	3054939	44XB	Complete Genome	haploid	1
GCF_008632635.1	Acinetobacter baumannii	470	K09-14	Complete Genome	haploid	2
GCF_000695855.3	Acinetobacter baumannii	470	AC29	Complete Genome	haploid	3
GCF_000746605.1	Acinetobacter baumannii	470	AB31	Complete Genome	haploid	1
GCF_000746645.1	Acinetobacter baumannii	470	AB30	Complete Genome	haploid	1
GCF_000761175.1	Acinetobacter baumannii	470	Strain AbH12O-A2	Complete Genome	haploid	1
GCF_000794125.2	Acinetobacter baumannii	470	AB6870155	Complete Genome	haploid	4
GCF_000814345.1	Acinetobacter baumannii	470	6200	Complete Genome	haploid	4
GCF_000828935.1	Acinetobacter baumannii	470	IOMTU433	Complete Genome	haploid	2
GCF_000830055.1	Acinetobacter baumannii	470		Complete Genome	haploid	2
GCF_000963815.1	Acinetobacter baumannii	470	AB5075-UW	Complete Genome	haploid	4
GCF_001026965.1	Acinetobacter baumannii	470	XH386	Complete Genome	haploid	2
GCF_001077555.2	Acinetobacter baumannii	470	B8342	Complete Genome	haploid	1
GCF_001077655.1	Acinetobacter baumannii	470	Ab04-mff	Complete Genome	haploid	3
GCF_001077675.1	Acinetobacter baumannii	470	ATCC 17978-mff	Complete Genome	haploid	2
GCF_001077965.2	Acinetobacter baumannii	470	B8300	Complete Genome	haploid	2
GCF_001261895.2	Acinetobacter baumannii	470		Complete Genome	haploid	1
GCF_001399655.1	Acinetobacter baumannii	470	D36	Complete Genome	haploid	5
GCF_001457535.1	Acinetobacter baumannii	470		Complete Genome	haploid	2
GCF_001514375.1	Acinetobacter baumannii	470	KBN10P02143	Complete Genome	haploid	2
GCF_001517645.1	Acinetobacter baumannii	470		Complete Genome	haploid	2
GCF_001543995.1	Acinetobacter baumannii	470	YU-R612	Complete Genome	haploid	3
GCF_001573065.1	Acinetobacter baumannii	470	XH860	Complete Genome	haploid	1
GCF_001573085.1	Acinetobacter baumannii	470	XH859	Complete Genome	haploid	1
GCF_001573105.1	Acinetobacter baumannii	470	XH857	Complete Genome	haploid	1
GCF_001573125.1	Acinetobacter baumannii	470	XH856	Complete Genome	haploid	1
GCF_001578145.1	Acinetobacter baumannii	470	XH858	Complete Genome	haploid	1
GCF_001593425.2	Acinetobacter baumannii	470	ATCC 17978-VU	Complete Genome	haploid	1
GCF_001636235.1	Acinetobacter baumannii	470	3207	Complete Genome	haploid	3
GCF_001668465.2	Acinetobacter baumannii	470	ABUH773	Complete Genome	haploid	2
GCF_001669145.2	Acinetobacter baumannii	470	ABUH793	Complete Genome	haploid	4
GCF_001674475.2	Acinetobacter baumannii	470	ABUH763	Complete Genome	haploid	3
GCF_001674505.2	Acinetobacter baumannii	470	ABUH796	Complete Genome	haploid	2
GCF_001721705.1	Acinetobacter baumannii	470	CA-17	Complete Genome	haploid	1
GCF_001806345.1	Acinetobacter baumannii	470	KAB01	Complete Genome	haploid	2
GCF_001806365.1	Acinetobacter baumannii	470	KAB02	Complete Genome	haploid	2
GCF_001806385.1	Acinetobacter baumannii	470	KAB03	Complete Genome	haploid	2
GCF_001806405.1	Acinetobacter baumannii	470	KAB04	Complete Genome	haploid	2
GCF_001806425.1	Acinetobacter baumannii	470	KAB05	Complete Genome	haploid	2
GCF_001806445.1	Acinetobacter baumannii	470	KAB06	Complete Genome	haploid	2
GCF_001806465.1	Acinetobacter baumannii	470	KAB07	Complete Genome	haploid	2
GCF_001806485.1	Acinetobacter baumannii	470	KAB08	Complete Genome	haploid	2
GCF_001887305.1	Acinetobacter baumannii	470	HRAB-85	Complete Genome	haploid	2
GCF_001895125.2	Acinetobacter baumannii	470	OCU_Ac16a	Complete Genome	haploid	4
GCF_001895985.1	Acinetobacter baumannii	470	AF-673	Complete Genome	haploid	2
GCF_001896005.1	Acinetobacter baumannii	470	AF-401	Complete Genome	haploid	2
GCF_001902375.1	Acinetobacter baumannii	470	XDR-BJ83	Complete Genome	haploid	2
GCF_001908295.1	Acinetobacter baumannii	470	LAC4	Complete Genome	haploid	3
GCF_001922205.1	Acinetobacter baumannii	470	CMC-CR-MDR-Ab4	Complete Genome	haploid	3
GCF_001922225.1	Acinetobacter baumannii	470	CMC-MDR-Ab59	Complete Genome	haploid	2
GCF_001922245.1	Acinetobacter baumannii	470	CMC-CR-MDR-Ab66	Complete Genome	haploid	3
GCF_001941765.1	Acinetobacter baumannii	470	AB042	Complete Genome	haploid	1
GCF_002082625.2	Acinetobacter baumannii	470	JBA13	Complete Genome	haploid	2
GCF_002082645.1	Acinetobacter baumannii	470	CBA7	Complete Genome	haploid	2
